City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Rikitea,PF,296.64,light rain,-23.1203,-134.9692,People ThankYou
4,Mahebourg,MU,294.31,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
8,Pirgos,GR,298.42,clear sky,35.1167,25.7178,Daios Cove
9,Atuona,PF,298.28,light rain,-9.8,-139.0333,Villa Enata
10,Qui+Nhon,VN,299.68,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
11,Gambela,ET,294.09,moderate rain,8.25,34.5833,Solomon Debebe Hotel
12,Tura,IN,295.29,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
16,Sokoto,NG,297.16,broken clouds,13.0609,5.239,Shukura Coral Hotel
29,Mareeba,AU,297.86,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
30,Pisco,PE,290.18,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
33,Ponta+Do+Sol,PT,296.5,few clouds,32.6667,-17.1,Hotel do Campo
34,Faya,SA,291.44,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
36,Salinas,US,297.12,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
41,Portland,US,298.89,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
42,Lagoa,PT,294.46,scattered clouds,39.05,-27.9833,Casa Das Faias
44,Lompoc,US,296.24,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
47,Arraial+Do+Cabo,BR,295.13,mist,-22.9661,-42.0278,Pousada Porto Praia
48,Belmonte,BR,298.43,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
52,Ribeira+Grande,PT,295.48,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
56,San+Cristobal,VE,297.25,broken clouds,7.7669,-72.225,Posada Villaven C.A.
57,Mar+Del+Plata,AR,290.16,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
58,Saint-Philippe,RE,293.9,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
59,Polis,CY,295.05,clear sky,35.0367,32.4264,Marion
