City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Narsaq,60.9167,-46.05,278.16,91,98,0.56,GL,2021-09-18 18:58:53
1,Avarua,-21.2078,-159.775,298.18,73,20,4.63,CK,2021-09-18 18:58:54
2,Noumea,-22.2763,166.4572,286.14,72,8,3.78,NC,2021-09-18 18:58:55
3,Flinders,-34.5833,150.8552,282.62,74,0,0.89,AU,2021-09-18 18:58:55
4,Ushuaia,-54.8,-68.3,278.96,70,0,0.0,AR,2021-09-18 18:58:56
5,Rikitea,-23.1203,-134.9692,295.65,77,61,5.97,PF,2021-09-18 18:58:56
6,Hobart,-42.8794,147.3294,282.07,74,75,6.69,AU,2021-09-18 18:55:10
7,Milkovo,54.7167,158.6167,277.3,67,95,2.0,RU,2021-09-18 18:58:57
8,Bambous+Virieux,-20.3428,57.7575,293.29,83,40,2.57,MU,2021-09-18 18:58:58
9,Mataura,-46.1927,168.8643,278.42,97,100,1.75,NZ,2021-09-18 18:58:58
10,Fairbanks,64.8378,-147.7164,277.31,83,40,0.0,US,2021-09-18 18:57:39
11,Lata,40.1629,-8.3327,291.93,79,5,2.13,PT,2021-09-18 18:58:59
12,Alta+Floresta,-9.8756,-56.0861,306.05,55,75,2.57,BR,2021-09-18 18:59:00
13,Kruisfontein,-34.0033,24.7314,288.09,72,0,7.81,ZA,2021-09-18 18:59:00
14,Butaritari,3.0707,172.7902,301.29,70,20,7.32,KI,2021-09-18 18:59:01
15,Barrow,71.2906,-156.7887,273.09,95,100,6.39,US,2021-09-18 18:59:01
16,Punta+Arenas,-53.15,-70.9167,281.21,76,75,5.14,CL,2021-09-18 18:59:02
17,Jamestown,42.097,-79.2353,298.16,74,86,1.34,US,2021-09-18 18:59:03
18,Puerto+Escondido,15.85,-97.0667,302.87,65,100,2.07,MX,2021-09-18 18:59:03
19,Cabo+San+Lucas,22.8909,-109.9124,306.82,71,75,3.13,MX,2021-09-18 18:58:55
20,Constantine,36.365,6.6147,297.82,69,20,4.12,DZ,2021-09-18 18:59:04
21,Ostrovnoy,68.0531,39.5131,276.33,87,19,0.35,RU,2021-09-18 18:55:35
22,Beloha,-25.1667,45.05,291.04,53,87,5.16,MG,2021-09-18 18:59:05
23,Lucapa,-8.4192,20.7447,297.94,56,75,1.35,AO,2021-09-18 18:59:05
24,Hilo,19.7297,-155.09,298.86,84,72,3.34,US,2021-09-18 18:59:06
25,Saint-Augustin,51.226,-58.6502,293.05,72,80,11.23,CA,2021-09-18 18:59:06
26,Carnarvon,-24.8667,113.6333,289.19,77,0,6.69,AU,2021-09-18 18:59:07
27,Plyussa,58.4308,29.3654,278.58,77,98,4.27,RU,2021-09-18 18:59:07
28,Darnah,32.767,22.6367,299.07,63,0,6.51,LY,2021-09-18 18:59:08
29,Cooma,-36.2333,149.1333,276.02,69,30,1.03,AU,2021-09-18 18:59:09
30,Kavieng,-2.5744,150.7967,301.42,75,47,5.89,PG,2021-09-18 18:59:09
31,Petauke,-14.2426,31.3253,290.82,76,18,7.31,ZM,2021-09-18 18:59:10
32,New+Norfolk,-42.7826,147.0587,281.87,70,100,0.45,AU,2021-09-18 18:59:10
33,Qaanaaq,77.484,-69.3632,263.7,73,95,2.69,GL,2021-09-18 18:59:11
34,Tasiilaq,65.6145,-37.6368,273.05,69,20,1.78,GL,2021-09-18 18:59:11
35,Cape+Town,-33.9258,18.4232,288.64,80,0,0.89,ZA,2021-09-18 18:56:57
36,Letlhakeng,-24.0944,25.0298,289.36,54,0,3.77,BW,2021-09-18 18:59:12
37,Merauke,-8.4667,140.3333,297.96,80,100,8.68,ID,2021-09-18 18:55:16
38,Stettler,52.3168,-112.7186,292.06,59,100,5.14,CA,2021-09-18 18:59:13
39,Pirot,43.1531,22.5861,287.0,87,0,0.81,RS,2021-09-18 18:59:13
40,Ayorou,14.7308,0.9174,309.07,32,16,3.01,NE,2021-09-18 18:59:14
41,Atuona,-9.8,-139.0333,298.67,75,2,8.17,PF,2021-09-18 18:59:15
42,Jimo,36.3897,120.4622,294.03,94,100,2.0,CN,2021-09-18 18:59:15
43,Castro,-24.7911,-50.0119,299.12,52,65,2.55,BR,2021-09-18 18:59:16
44,Vaini,-21.2,-175.2,296.24,94,75,3.09,TO,2021-09-18 18:59:16
45,Kodiak,57.79,-152.4072,282.65,66,0,4.64,US,2021-09-18 18:59:16
46,Upernavik,72.7868,-56.1549,268.35,54,26,2.74,GL,2021-09-18 18:59:17
47,Albany,42.6001,-73.9662,302.21,62,4,3.92,US,2021-09-18 18:59:17
48,Bredasdorp,-34.5322,20.0403,288.77,72,100,7.72,ZA,2021-09-18 18:59:18
49,Ponta+Do+Sol,32.6667,-17.1,296.55,59,75,3.05,PT,2021-09-18 18:59:18
50,Airai,-8.9266,125.4092,287.3,57,81,1.42,TL,2021-09-18 18:59:19
51,Ribeira+Grande,38.5167,-28.7,295.37,53,20,5.14,PT,2021-09-18 18:59:19
52,Svarstad,59.399,9.9698,285.27,51,100,0.79,NO,2021-09-18 18:59:20
53,Kapaa,22.0752,-159.319,300.14,77,98,7.75,US,2021-09-18 18:59:21
54,Alofi,-19.0595,-169.9187,297.09,100,8,2.06,NU,2021-09-18 18:59:21
55,Nikolskoye,59.7035,30.7861,282.09,81,99,2.91,RU,2021-09-18 18:59:22
56,Zhirnov,48.1709,41.1261,289.04,51,46,4.95,RU,2021-09-18 18:59:23
57,Bengkulu,-3.8004,102.2655,297.51,91,80,4.79,ID,2021-09-18 18:59:23
58,Mar+Del+Plata,-38.0023,-57.5575,290.16,63,0,4.63,AR,2021-09-18 18:59:24
59,Margate,51.3813,1.3862,292.57,84,98,5.1,GB,2021-09-18 18:59:24
60,Hasaki,35.7333,140.8333,295.37,89,100,12.45,JP,2021-09-18 18:59:25
61,Yar-Sale,66.8333,70.8333,273.58,98,100,11.42,RU,2021-09-18 18:59:25
62,Tiksi,71.6872,128.8694,274.45,78,100,7.53,RU,2021-09-18 18:59:26
63,Pevek,69.7008,170.3133,272.19,69,100,5.5,RU,2021-09-18 18:59:26
64,Busselton,-33.65,115.3333,284.31,85,100,1.82,AU,2021-09-18 18:59:27
65,Saldanha,-33.0117,17.9442,286.18,83,49,7.12,ZA,2021-09-18 18:59:27
66,Isangel,-19.55,169.2667,292.21,82,32,2.06,VU,2021-09-18 18:59:28
