City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Rikitea,-23.1203,-134.9692,296.64,71,52,6.39,PF,2021-09-16 23:43:02,light rain
1,Cape+Town,-33.9258,18.4232,286.42,71,0,1.79,ZA,2021-09-16 23:44:02,clear sky
2,Mataura,-46.1927,168.8643,280.64,51,32,2.74,NZ,2021-09-16 23:46:29,scattered clouds
3,Victoria,22.2855,114.1577,302.22,82,52,0.45,HK,2021-09-16 23:51:16,light rain
4,Mahebourg,-20.4081,57.7,294.31,94,75,1.54,MU,2021-09-16 23:46:20,broken clouds
5,Khatanga,71.9667,102.5,273.02,89,100,1.61,RU,2021-09-16 23:42:21,overcast clouds
6,Dikson,73.5069,80.5464,274.89,77,100,7.36,RU,2021-09-16 23:47:58,overcast clouds
7,Henties+Bay,-22.116,14.2845,284.18,90,16,1.13,NA,2021-09-16 23:46:24,few clouds
8,Pirgos,35.1167,25.7178,298.42,53,0,3.91,GR,2021-09-16 23:47:11,clear sky
9,Atuona,-9.8,-139.0333,298.28,79,18,7.11,PF,2021-09-16 23:47:28,light rain
10,Qui+Nhon,13.7667,109.2333,299.68,86,75,1.38,VN,2021-09-16 23:51:25,broken clouds
11,Gambela,8.25,34.5833,294.09,97,100,1.59,ET,2021-09-16 23:52:41,moderate rain
12,Tura,25.5198,90.2201,295.29,95,99,1.41,IN,2021-09-16 23:50:46,overcast clouds
13,Hermanus,-34.4187,19.2345,283.6,76,18,3.8,ZA,2021-09-16 23:46:34,few clouds
14,Port+Macquarie,-31.4333,152.9167,289.13,58,0,2.42,AU,2021-09-16 23:52:42,clear sky
15,Georgetown,5.4112,100.3354,300.31,82,40,1.54,MY,2021-09-16 23:51:09,scattered clouds
16,Sokoto,13.0609,5.239,297.16,82,64,5.33,NG,2021-09-16 23:52:43,broken clouds
17,Barrow,71.2906,-156.7887,274.16,93,90,5.14,US,2021-09-16 23:47:19,light snow
18,Hilo,19.7297,-155.09,302.19,77,90,3.09,US,2021-09-16 23:46:22,overcast clouds
19,Chokurdakh,70.6333,147.9167,278.43,77,99,0.96,RU,2021-09-16 23:46:31,overcast clouds
20,Butaritari,3.0707,172.7902,301.15,76,33,7.13,KI,2021-09-16 23:43:03,light rain
21,Vaini,-21.2,-175.2,300.24,89,20,3.6,TO,2021-09-16 23:46:50,few clouds
22,Hobart,-42.8794,147.3294,285.96,64,20,1.79,AU,2021-09-16 23:51:34,few clouds
23,Cherskiy,68.75,161.3,277.66,58,90,7.36,RU,2021-09-16 23:52:45,overcast clouds
24,Yellowknife,62.456,-114.3525,282.44,49,20,3.6,CA,2021-09-16 23:46:21,few clouds
25,Ushuaia,-54.8,-68.3,275.96,60,75,0.0,AR,2021-09-16 23:43:03,broken clouds
26,Bredasdorp,-34.5322,20.0403,283.77,87,8,1.54,ZA,2021-09-16 23:42:05,clear sky
27,Nikolskoye,59.7035,30.7861,278.09,94,25,0.38,RU,2021-09-16 23:47:22,scattered clouds
28,Longyearbyen,78.2186,15.6401,278.06,81,75,2.57,SJ,2021-09-16 23:52:46,light rain
29,Mareeba,-17.0,145.4333,297.86,63,29,4.08,AU,2021-09-16 23:50:10,scattered clouds
30,Pisco,-13.7,-76.2167,290.18,77,20,6.17,PE,2021-09-16 23:50:22,few clouds
31,Punta+Arenas,-53.15,-70.9167,276.21,93,90,5.66,CL,2021-09-16 23:39:02,light intensity drizzle
32,Alofi,-19.0595,-169.9187,301.09,74,75,6.69,NU,2021-09-16 23:49:52,light rain
33,Ponta+Do+Sol,32.6667,-17.1,296.5,68,17,3.05,PT,2021-09-16 23:47:35,few clouds
34,Faya,18.3851,42.4509,291.44,52,45,0.98,SA,2021-09-16 23:50:31,scattered clouds
35,Lima,-12.0432,-77.0282,288.29,77,90,3.09,PE,2021-09-16 23:43:00,overcast clouds
36,Salinas,36.6777,-121.6555,297.12,72,75,6.69,US,2021-09-16 23:52:49,broken clouds
37,Carnarvon,-24.8667,113.6333,285.19,66,31,4.12,AU,2021-09-16 23:48:09,scattered clouds
38,Castro,-24.7911,-50.0119,285.3,97,100,3.93,BR,2021-09-16 23:48:10,overcast clouds
39,Hithadhoo,-0.6,73.0833,301.63,72,99,4.24,MV,2021-09-16 23:47:59,overcast clouds
40,Upernavik,72.7868,-56.1549,269.73,55,100,2.31,GL,2021-09-16 23:46:18,overcast clouds
41,Portland,45.5234,-122.6762,298.89,26,1,1.34,US,2021-09-16 23:50:07,clear sky
42,Lagoa,39.05,-27.9833,294.46,91,49,5.97,PT,2021-09-16 23:47:49,scattered clouds
43,Busselton,-33.65,115.3333,284.63,69,75,2.42,AU,2021-09-16 23:46:11,broken clouds
44,Lompoc,34.6391,-120.4579,296.24,74,1,6.17,US,2021-09-16 23:49:05,clear sky
45,Cerritos,33.8583,-118.0648,305.34,61,1,2.68,US,2021-09-16 23:52:51,clear sky
46,Havelock,34.8791,-76.9013,300.14,88,75,4.63,US,2021-09-16 23:47:04,broken clouds
47,Arraial+Do+Cabo,-22.9661,-42.0278,295.13,88,90,4.12,BR,2021-09-16 23:42:51,mist
48,Belmonte,-15.8631,-38.8828,298.43,85,37,3.46,BR,2021-09-16 23:52:52,scattered clouds
49,Zhangjiakou,40.81,114.8794,289.09,62,0,0.38,CN,2021-09-16 23:52:53,clear sky
50,East+London,-33.0153,27.9116,287.14,64,64,6.44,ZA,2021-09-16 23:47:45,broken clouds
51,Ancud,-41.8697,-73.8203,283.39,91,100,5.14,CL,2021-09-16 23:46:33,overcast clouds
52,Ribeira+Grande,38.5167,-28.7,295.48,84,95,2.15,PT,2021-09-16 23:42:47,overcast clouds
53,Nouakchott,18.0858,-15.9785,302.11,72,98,5.18,MR,2021-09-16 23:49:07,overcast clouds
54,Lebu,-37.6167,-73.65,282.79,91,0,3.52,CL,2021-09-16 23:45:57,clear sky
55,Klaksvik,62.2266,-6.589,285.66,97,100,14.34,FO,2021-09-16 23:52:55,overcast clouds
56,San+Cristobal,7.7669,-72.225,297.25,98,70,1.54,VE,2021-09-16 23:49:19,broken clouds
57,Mar+Del+Plata,-38.0023,-57.5575,290.16,59,0,2.57,AR,2021-09-16 23:46:45,clear sky
58,Saint-Philippe,-21.3585,55.7679,293.9,83,44,2.83,RE,2021-09-16 23:48:23,light rain
59,Polis,35.0367,32.4264,295.05,67,0,1.32,CY,2021-09-16 23:52:57,clear sky
60,Geraldton,-28.7667,114.6,285.38,87,75,0.0,AU,2021-09-16 23:47:30,broken clouds
61,Camopi,3.1655,-52.3158,294.85,99,58,1.17,GF,2021-09-16 23:52:57,broken clouds
62,Candolim,15.5181,73.7626,299.15,89,75,2.06,IN,2021-09-16 23:52:58,broken clouds
63,Deputatskiy,69.3,139.9,278.51,76,100,0.83,RU,2021-09-16 23:50:54,overcast clouds
64,Mutsu,41.2894,141.2169,292.33,66,99,5.05,JP,2021-09-16 23:52:59,overcast clouds
65,Sao+Filipe,14.8961,-24.4956,299.46,81,100,3.68,CV,2021-09-16 23:43:00,overcast clouds
66,Puerto+Ayora,-0.7393,-90.3518,292.9,95,52,0.89,EC,2021-09-16 23:46:28,broken clouds
67,Sarahan,31.5167,77.8,287.49,86,17,1.23,IN,2021-09-16 23:53:00,few clouds
68,Luang+Prabang,19.8856,102.1347,296.64,95,100,0.32,LA,2021-09-16 23:53:00,overcast clouds
69,Aklavik,68.2191,-135.0107,288.61,58,20,3.09,CA,2021-09-16 23:46:40,few clouds
70,Tiksi,71.6872,128.8694,277.45,91,96,4.07,RU,2021-09-16 23:46:41,overcast clouds
71,Tuktoyaktuk,69.4541,-133.0374,286.15,62,20,4.63,CA,2021-09-16 23:51:31,few clouds
72,Priiskovyy,51.9333,116.6333,282.58,75,15,2.21,RU,2021-09-16 23:53:02,few clouds
73,Khorinsk,52.1657,109.7726,281.95,78,77,0.46,RU,2021-09-16 23:53:02,broken clouds
74,Ingham,42.6,-84.3833,297.25,66,1,3.09,US,2021-09-16 23:48:05,clear sky
